AL112000,             GORDON,     29,
20000918, 0000,  , WV, 17.0N,  67.1W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000918, 0600,  , WV, 17.1N,  68.7W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000918, 1200,  , WV, 17.2N,  70.6W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000918, 1800,  , WV, 17.4N,  72.5W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000919, 0000,  , WV, 17.6N,  74.4W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000919, 0600,  , WV, 18.3N,  76.3W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000919, 1200,  , WV, 18.9N,  78.3W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000919, 1800,  , TD, 19.4N,  79.6W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000920, 0000,  , TD, 19.9N,  81.0W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000920, 0600,  , TD, 20.7N,  82.6W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000920, 1200,  , TD, 21.8N,  84.3W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000920, 1800,  , TD, 23.0N,  85.4W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000921, 0000,  , TD, 23.9N,  86.1W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000921, 0600,  , TS, 24.9N,  86.6W,  35, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000921, 1200,  , TS, 26.1N,  87.0W,  45, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000921, 1800,  , TS, 27.1N,  87.1W,  60,  999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 0000,  , TS, 28.4N,  87.2W,  60,  996, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 0600,  , TS, 29.5N,  87.2W,  50, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 1200, L, TS, 30.5N,  86.6W,  35, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 1800,  , TD, 31.6N,  85.4W,  25, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 0000,  , TD, 32.9N,  83.5W,  25, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 0600,  , TD, 33.6N,  81.7W,  25, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 1200,  , TD, 34.4N,  80.0W,  25, 1011, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 1800,  , TS, 35.4N,  78.0W,  35, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 0000,  , TS, 36.4N,  76.1W,  40, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 0600,  , TS, 37.2N,  74.7W,  45, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 1200,  , TS, 38.0N,  72.5W,  45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 1800,  , TS, 39.2N,  70.1W,  45,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 0000,  , TS, 40.1N,  66.8W,  55,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 0600,  , TS, 41.6N,  62.2W,  60,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 1200,  , TS, 44.0N,  55.5W,  55,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 1800,  , TS, 46.1N,  48.8W,  45,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
AL132000,              ISAAC,     52,
20000921, 1200,  , TD, 11.5N,  23.0W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000921, 1800,  , TD, 11.9N,  24.5W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 0000,  , TS, 12.3N,  25.9W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 0600,  , TS, 12.7N,  27.2W,  40, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 1200,  , TS, 13.1N,  28.7W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000922, 1800,  , TS, 13.5N,  30.1W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 0000,  , TS, 13.7N,  31.2W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 0600,  , TS, 13.9N,  32.3W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 1200,  , HU, 14.3N,  33.2W,  70,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000923, 1800,  , HU, 14.6N,  34.2W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 0000,  , HU, 14.9N,  35.0W, 105,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 0600,  , HU, 15.1N,  35.8W, 100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 1200,  , HU, 15.5N,  36.8W, 100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000924, 1800,  , HU, 15.8N,  37.8W, 100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 0000,  , HU, 16.3N,  38.6W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 0600,  , HU, 16.7N,  39.5W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 1200,  , HU, 17.2N,  40.4W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 1800,  , HU, 17.6N,  41.2W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 0000,  , HU, 17.9N,  42.0W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 0600,  , HU, 18.3N,  42.9W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 1200,  , HU, 18.6N,  43.9W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 1800,  , HU, 19.1N,  45.0W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000927, 0000,  , HU, 19.6N,  46.0W,  80,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000927, 0600,  , HU, 20.4N,  47.0W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000927, 1200,  , HU, 21.0N,  48.1W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000927, 1800,  , HU, 21.9N,  49.5W,  95,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000928, 0000,  , HU, 22.8N,  50.6W, 100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000928, 0600,  , HU, 23.8N,  52.0W, 105,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000928, 1200,  , HU, 25.0N,  52.9W, 110,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000928, 1800,  , HU, 26.6N,  54.2W, 120,  943, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000929, 0000,  , HU, 28.0N,  55.1W, 115,  948, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000929, 0600,  , HU, 29.7N,  55.9W, 110,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000929, 1200,  , HU, 31.2N,  56.2W, 105,  955, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000929, 1800,  , HU, 32.9N,  55.9W,  90,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000930, 0000,  , HU, 34.4N,  55.2W,  85,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000930, 0600,  , HU, 35.7N,  54.0W,  80,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000930, 1200,  , HU, 37.0N,  51.8W,  75,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000930, 1800,  , HU, 38.3N,  49.8W,  70,  985, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001001, 0000,  , HU, 39.7N,  47.9W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001001, 0600,  , TS, 40.9N,  45.7W,  60,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001001, 1200,  , TS, 42.1N,  43.6W,  55,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001001, 1800,  , EX, 43.5N,  39.5W,  55,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001002, 0000,  , EX, 44.5N,  36.5W,  55,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001002, 0600,  , EX, 45.7N,  33.0W,  60,  972, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001002, 1200,  , EX, 47.0N,  29.0W,  60,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001002, 1800,  , EX, 48.5N,  25.0W,  60,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001003, 0000,  , EX, 49.5N,  20.5W,  60,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001003, 0600,  , EX, 50.5N,  16.5W,  60,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001003, 1200,  , EX, 52.0N,  12.0W,  55,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001003, 1800,  , EX, 55.0N,   9.0W,  45,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001004, 0000,  , EX, 58.0N,   6.0W,  45,  989, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20001004, 0600,  , EX, 62.0N,   4.0W,  45,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
AL142000,              JOYCE,     28,
20000925, 1200,  , TD, 11.2N,  29.6W,  25, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000925, 1800,  , TD, 11.4N,  30.7W,  30, 1009, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 0000,  , TS, 11.5N,  31.9W,  35, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 0600,  , TS, 11.6N,  33.0W,  35, 1007, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 1200,  , TS, 11.6N,  34.1W,  35, 1005, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000926, 1800,  , TS, 11.7N,  35.3W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000927, 0000,  , TS, 12.1N,  36.4W,  50,  998, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
20000927, 0600,  , TS, 12.2N,  37.6W,  55,  993, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
